"date","close","volume","open","high","low"
"2015/11/27","107.6300","552449.0000","107.5900","107.7600","107.2200"
"2015/11/25","107.4700","1820310.0000","107.5100","107.6600","107.2453"
"2015/11/24","107.3900","2032854.0000","106.5700","107.5900","106.3140"
"2015/11/23","107.1100","3145011.0000","107.2300","107.5900","106.8800"
"2015/11/20","107.2200","1563642.0000","107.2300","107.6000","106.9800"
"2015/11/19","106.7600","1623479.0000","106.9100","107.0800","106.6200"
"2015/11/18","106.9000","2106094.0000","105.5800","107.0000","105.5400"
"2015/11/17","105.2200","2243162.0000","105.5100","106.0900","104.9700"
"2015/11/16","105.3500","2635433.0000","103.8000","105.3600","103.6900"
"2015/11/13","103.8400","3003163.0000","104.7600","104.8800","103.8100"
"2015/11/12","104.9500","3109903.0000","105.9700","106.1600","104.9500"
"2015/11/11","106.5400","1340498.0000","107.2700","107.2700","106.5300"
"2015/11/10","107.0000","1605411.0000","106.4600","107.0400","106.2900"
"2015/11/09","106.7600","2620785.0000","107.9000","107.9000","106.2000"
"2015/11/06","107.8400","2078927.0000","107.5700","107.8500","106.9200"
"2015/11/05","107.8200","2143898.0000","108.0400","108.2300","107.2100"
"2015/11/04","107.9400","2893604.0000","108.5100","108.5300","107.5701"
"2015/11/03","108.2000","3100357.0000","107.7100","108.5700","107.5500"
"2015/11/02","107.9300","3396238.0000","106.7800","108.0000","106.6800"
"2015/10/30","106.5300","2203163.0000","107.1400","107.2800","106.5000"
"2015/10/29","106.9400","2666889.0000","106.7200","107.1800","106.6800"
"2015/10/28","107.1000","2421690.0000","105.9400","107.1200","105.6200"
"2015/10/27","105.7100","1685997.0000","105.8300","105.9400","105.2600"
"2015/10/26","106.0600","3078292.0000","106.2600","106.3000","105.8460"
"2015/10/23","106.3100","2404344.0000","106.1300","106.4700","105.6700"
"2015/10/22","105.2100","1979172.0000","104.2800","105.4300","104.1175"
"2015/10/21","103.6900","1777795.0000","104.7100","104.8645","103.5900"
"2015/10/20","104.5100","1806066.0000","104.3900","104.9100","104.1900"
"2015/10/19","104.6300","1457904.0000","104.3000","104.6700","103.9740"
"2015/10/16","104.5100","1901266.0000","104.3700","104.5400","103.8539"
"2015/10/15","104.1100","2216480.0000","102.9200","104.1200","102.6300"
"2015/10/14","102.5600","1902908.0000","103.0500","103.4400","102.3800"
"2015/10/13","103.0900","2220030.0000","103.2900","104.1700","102.9900"
"2015/10/12","103.8500","1680112.0000","103.8500","103.9500","103.5100"
"2015/10/09","103.8300","1649477.0000","103.8000","104.0600","103.4300"
"2015/10/08","103.6900","2521034.0000","102.5300","103.8788","102.3800"
"2015/10/07","102.8000","2583264.0000","102.4400","102.8800","101.7000"
"2015/10/06","101.8800","2463143.0000","102.2100","102.4600","101.3800"
"2015/10/05","102.2100","3405816.0000","101.1000","102.3600","101.0400"
"2015/10/02","100.3600","3654195.0000","97.9600","100.3700","97.3801"
"2015/10/01","98.9200","3808754.0000","98.9600","99.1178","97.7100"
"2015/09/30","98.7200","3747787.0000","98.1100","98.7900","97.5501"
"2015/09/29","96.9200","4547471.0000","97.2300","97.8400","96.3700"
"2015/09/28","96.9400","5606313.0000","99.0600","99.1300","96.8000"
"2015/09/25","99.6100","4937826.0000","100.7600","100.8700","99.0700"
"2015/09/24","100.3200","3723369.0000","100.0200","100.5329","99.1000"
"2015/09/23","100.6800","1788923.0000","101.0400","101.2785","100.3400"
"2015/09/22","100.8800","3034019.0000","101.0000","101.2436","100.2100"
"2015/09/21","102.2500","2680261.0000","102.4200","103.0200","101.6701"
"2015/09/18","101.8400","3271773.0000","102.0500","102.8900","101.5850"
"2015/09/17","103.4800","4723920.0000","103.6400","105.0202","103.2400"
"2015/09/16","103.6200","2447394.0000","102.8700","103.7300","102.6974"
"2015/09/15","102.7500","2385603.0000","101.8100","102.9699","101.5300"
"2015/09/14","101.4700","3711098.0000","101.9100","101.9100","101.2000"
"2015/09/11","101.8600","2007873.0000","101.0400","101.8800","100.7000"
"2015/09/10","101.4000","3695957.0000","100.8800","102.0700","100.6300"
"2015/09/09","100.8800","3690293.0000","103.2400","103.4000","100.6900"
"2015/09/08","102.2800","3341905.0000","101.5900","102.3200","101.0600"
"2015/09/04","99.7600","4317820.0000","99.9200","100.4050","99.2643"
"2015/09/03","101.2000","5151309.0000","101.5800","102.4400","100.9000"
"2015/09/02","101.0800","7678492.0000","100.7800","101.0800","99.5500"
"2015/09/01","99.2100","9264306.0000","99.9500","100.8300","98.7500"
"2015/08/31","102.2100","4526203.0000","102.5300","103.0100","101.9500"
"2015/08/28","102.9800","5165601.0000","102.5900","103.3200","102.3700"
"2015/08/27","102.9000","8779297.0000","101.9700","103.0500","100.9200"
"2015/08/26","100.4700","8298869.0000","99.9900","100.5800","97.3926"
"2015/08/25","96.9500","9213368.0000","101.4100","101.7200","96.8700"
"2015/08/24","98.1200","18133620.0000","96.4000","101.2700","93.0000"
"2015/08/21","102.2300","9875669.0000","104.3200","104.7400","102.1800"
"2015/08/20","105.2600","4377569.0000","106.8000","107.0000","105.2500"
"2015/08/19","107.6000","2183227.0000","108.0500","108.4500","107.0800"
"2015/08/18","108.5700","2694955.0000","108.7800","108.8949","108.3742"
"2015/08/17","108.8500","1739109.0000","107.8900","108.8600","107.5101"
"2015/08/14","108.1600","1154508.0000","107.7000","108.2300","107.5397"
"2015/08/13","107.7500","3545402.0000","107.9100","108.2350","107.4400"
"2015/08/12","107.9000","2611345.0000","107.0100","108.0300","106.0900"
"2015/08/11","107.7900","1833091.0000","108.0000","108.2299","107.3699"
"2015/08/10","108.7700","1981326.0000","108.0800","108.8500","108.0500"
"2015/08/07","107.4300","3295123.0000","107.6200","107.7000","106.8863"
"2015/08/06","107.7400","1969328.0000","108.9200","108.9200","107.2400"
"2015/08/05","108.6300","1253644.0000","108.8400","109.3400","108.4550"
"2015/08/04","108.2700","1599514.0000","108.4500","108.7500","108.0000"
"2015/08/03","108.4500","2653353.0000","108.9900","108.9900","107.8900"
"2015/07/31","108.8400","2422580.0000","109.3100","109.3400","108.7000"
"2015/07/30","108.9500","1390055.0000","108.5700","109.0400","108.1700"
"2015/07/29","108.8600","1623988.0000","108.1800","108.9800","108.0600"
"2015/07/28","108.1200","2198632.0000","107.1600","108.2252","106.7814"
"2015/07/27","106.8500","2957428.0000","107.0600","107.4600","106.6000"
"2015/07/24","107.5600","2073438.0000","108.7500","108.8300","107.3890"
"2015/07/23","108.7000","1569545.0000","109.4700","109.5300","108.5170"
"2015/07/22","109.3300","1852086.0000","109.1000","109.5000","109.0000"
"2015/07/21","109.4900","1660943.0000","109.8800","110.0400","109.3000"
"2015/07/20","109.9700","1338693.0000","110.0500","110.2100","109.7763"
"2015/07/17","109.9600","1294812.0000","109.9900","110.0000","109.6500"
"2015/07/16","109.9300","1314002.0000","109.8500","109.9500","109.6500"
"2015/07/15","109.1700","2555451.0000","109.3700","109.5600","108.9100"
"2015/07/14","109.3100","2292470.0000","108.8000","109.5000","108.5900"
"2015/07/13","108.8200","2835280.0000","108.5800","108.8850","108.3800"
"2015/07/10","107.6000","3432285.0000","107.5800","107.8400","107.1000"
"2015/07/09","106.3100","3064623.0000","107.1500","107.6900","106.2700"
"2015/07/08","106.0900","2938806.0000","107.1000","107.2800","105.9100"
"2015/07/07","107.8900","3329559.0000","107.4400","108.0000","105.9299"
"2015/07/06","107.3000","2570835.0000","106.9900","107.7900","106.6200"
"2015/07/02","107.5800","3139960.0000","108.0500","108.1990","107.3450"
"2015/07/01","107.7200","12016260.0000","108.0200","108.1100","107.2800"
"2015/06/30","107.0200","3394044.0000","107.6200","107.6499","106.6800"
"2015/06/29","106.7300","3642516.0000","108.0300","108.5000","106.6500"
"2015/06/26","109.0100","1503910.0000","109.2900","109.3900","108.6500"
"2015/06/25","109.5400","2110771.0000","110.2000","110.2400","109.4500"
"2015/06/24","109.8800","4931195.0000","110.5600","110.7100","109.8600"
"2015/06/23","110.7200","3080410.0000","110.7300","110.8500","110.4600"
"2015/06/22","110.6100","1864791.0000","110.6800","110.9000","110.4500"
"2015/06/19","109.9400","1735909.0000","110.3900","110.4200","109.8600"
"2015/06/18","110.4200","2496128.0000","109.5800","110.7600","109.5800"
"2015/06/17","109.3400","1911599.0000","109.3300","109.6900","108.7400"
"2015/06/16","109.1600","2604836.0000","108.4500","109.2500","108.4000"
"2015/06/15","108.5600","2865500.0000","108.2800","108.7600","107.8700"
"2015/06/12","109.0600","1490940.0000","109.2800","109.5000","108.8800"
"2015/06/11","109.7800","1850526.0000","109.7100","110.0100","109.5800"
"2015/06/10","109.4700","1592640.0000","108.7000","109.6600","108.5900"
"2015/06/09","108.1500","2975321.0000","108.2500","108.4800","107.7310"
"2015/06/08","108.2400","2990676.0000","108.8800","108.9600","108.1800"
"2015/06/05","108.9100","3342744.0000","108.9100","109.2000","108.3300"
"2015/06/04","109.0000","1845802.0000","109.5000","109.8000","108.7701"
"2015/06/03","109.8800","1731329.0000","109.7800","110.2200","109.5300"
"2015/06/02","109.5000","1925339.0000","109.2500","109.9300","108.9500"
"2015/06/01","109.5800","2354716.0000","109.8000","109.9600","109.0600"
"2015/05/29","109.3100","1943247.0000","109.9900","110.0200","109.1800"
"2015/05/28","110.0500","2022404.0000","109.9700","110.0800","109.5700"
"2015/05/27","110.1500","2562163.0000","109.4500","110.2800","109.2000"
"2015/05/26","109.1500","2226674.0000","110.0200","110.0200","108.8650"
"2015/05/22","110.3000","1187833.0000","110.3800","110.5549","110.2199"
"2015/05/21","110.5100","1476431.0000","110.1800","110.6600","110.0701"
"2015/05/20","110.2300","2478324.0000","110.3400","110.6800","110.0300"
"2015/05/19","110.3000","2844996.0000","110.3800","110.5600","110.1200"
"2015/05/18","110.3500","2769075.0000","109.8100","110.5000","109.7500"
